0.0,0.0
0.005,0.03139525976465669
0.01,0.06266661678215212
0.015,0.0936906572928623
0.02,0.12434494358242741
0.025,0.15450849718747373
0.03,0.18406227634233896
0.035,0.21288964578253636
0.04,0.24087683705085763
0.045,0.26791339748949833
0.05,0.2938926261462365
0.055,0.3187119948743448
0.06,0.3422735529643443
0.065,0.3644843137107058
0.07,0.3852566213878946
0.075,0.40450849718747367
0.08,0.4221639627510076
0.085,0.4381533400219318
0.09,0.4524135262330098
0.095,0.4648882429441257
0.1,0.4755282581475768
0.105,0.4842915805643155
0.11,0.4911436253643443
0.115,0.49605735065723894
0.12,0.4990133642141358
0.125,0.5000000000000001
0.13,0.4990133642141358
0.135,0.49605735065723894
0.14,0.4911436253643443
0.145,0.4842915805643156
0.15,0.4755282581475768
0.155,0.4648882429441257
0.16,0.4524135262330097
0.165,0.43815334002193174
0.17,0.4221639627510075
0.175,0.40450849718747367
0.18,0.3852566213878946
0.185,0.3644843137107057
0.19,0.3422735529643444
0.195,0.31871199487434493
0.2,0.29389262614623657
0.205,0.2679133974894985
0.21,0.2408768370508578
0.215,0.21288964578253647
0.22,0.18406227634233907
0.225,0.15450849718747378
0.23,0.12434494358242741
0.235,0.0936906572928625
0.24,0.06266661678215227
0.245,0.03139525976465679
0.25,6.123233995736766e-17
0.255,-0.03139525976465667
0.26,-0.06266661678215214
0.265,-0.09369065729286237
0.27,-0.12434494358242751
0.275,-0.15450849718747386
0.28,-0.18406227634233915
0.285,-0.21288964578253614
0.29,-0.2408768370508575
0.295,-0.2679133974894982
0.3,-0.2938926261462365
0.305,-0.3187119948743448
0.31,-0.34227355296434436
0.315,-0.36448431371070567
0.32,-0.3852566213878946
0.325,-0.40450849718747367
0.33,-0.42216396275100765
0.335,-0.4381533400219318
0.34,-0.4524135262330099
0.345,-0.4648882429441256
0.35,-0.4755282581475767
0.355,-0.4842915805643155
0.36,-0.49114362536434436
0.365,-0.4960573506572388
0.37,-0.4990133642141358
0.375,-0.5
0.38,-0.4990133642141358
0.385,-0.4960573506572388
0.39,-0.4911436253643444
0.395,-0.4842915805643155
0.4,-0.4755282581475768
0.405,-0.4648882429441257
0.41,-0.45241352623300995
0.415,-0.43815334002193185
0.42,-0.42216396275100776
0.425,-0.4045084971874737
0.43,-0.38525662138789474
0.435,-0.3644843137107058
0.44,-0.3422735529643445
0.445,-0.31871199487434476
0.45,-0.2938926261462366
0.455,-0.26791339748949816
0.46,-0.24087683705085766
0.465,-0.2128896457825361
0.47,-0.18406227634233935
0.475,-0.1545084971874738
0.48,-0.12434494358242767
0.485,-0.09369065729286234
0.49,-0.06266661678215232
0.495,-0.03139525976465663
0.5,-1.2246467991473532e-16
0.505,0.03139525976465639
0.51,0.06266661678215209
0.515,0.09369065729286209
0.52,0.12434494358242744
0.525,0.1545084971874736
0.53,0.1840622763423391
0.535,0.2128896457825363
0.54,0.24087683705085786
0.545,0.26791339748949833
0.55,0.29389262614623685
0.555,0.31871199487434493
0.56,0.3422735529643446
0.565,0.3644843137107053
0.57,0.38525662138789435
0.575,0.40450849718747334
0.58,0.4221639627510073
0.585,0.43815334002193157
0.59,0.4524135262330097
0.595,0.46488824294412556
0.6,0.4755282581475767
0.605,0.4842915805643155
0.61,0.4911436253643443
0.615,0.4960573506572389
0.62,0.49901336421413583
0.625,0.5000000000000001
0.63,0.49901336421413583
0.635,0.49605735065723894
0.64,0.4911436253643443
0.645,0.4842915805643156
0.65,0.4755282581475768
0.655,0.46488824294412584
0.66,0.4524135262330096
0.665,0.4381533400219317
0.67,0.42216396275100754
0.675,0.4045084971874738
0.68,0.3852566213878943
0.685,0.3644843137107055
0.69,0.3422735529643448
0.695,0.3187119948743455
0.7,0.2938926261462367
0.705,0.2679133974894986
0.71,0.24087683705085808
0.715,0.21288964578253694
0.72,0.184062276342339
0.725,0.15450849718747386
0.73,0.12434494358242773
0.735,0.09369065729286284
0.74,0.06266661678215195
0.745,0.031395259764656694
0.75,1.8369701987210297e-16
0.755,-0.031395259764656326
0.76,-0.06266661678215157
0.765,-0.09369065729286248
0.77,-0.12434494358242738
0.775,-0.15450849718747353
0.78,-0.18406227634233863
0.785,-0.21288964578253664
0.79,-0.24087683705085777
0.795,-0.2679133974894983
0.8,-0.2938926261462364
0.805,-0.31871199487434526
0.81,-0.34227355296434453
0.815,-0.3644843137107053
0.82,-0.385256621387894
0.825,-0.4045084971874736
0.83,-0.42216396275100737
0.835,-0.43815334002193146
0.84,-0.45241352623300946
0.845,-0.4648882429441257
0.85,-0.4755282581475767
0.855,-0.4842915805643155
0.86,-0.49114362536434425
0.865,-0.49605735065723894
0.87,-0.4990133642141358
0.875,-0.5
0.88,-0.4990133642141358
0.885,-0.49605735065723894
0.89,-0.49114362536434436
0.895,-0.48429158056431554
0.9,-0.47552825814757693
0.905,-0.46488824294412584
0.91,-0.45241352623300957
0.915,-0.4381533400219318
0.92,-0.4221639627510076
0.925,-0.40450849718747384
0.93,-0.3852566213878943
0.935,-0.36448431371070555
0.94,-0.3422735529643449
0.945,-0.31871199487434554
0.95,-0.2938926261462368
0.955,-0.26791339748949866
0.96,-0.24087683705085813
0.965,-0.21288964578253702
0.97,-0.18406227634233904
0.975,-0.15450849718747392
0.98,-0.12434494358242779
0.985,-0.0936906572928629
0.99,-0.062666616782152
0.995,-0.031395259764656756
1.0,-2.4492935982947064e-16
